                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.001,                 5.4643,                 5.0208,                 1.4032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8178,                 3.5723,                 4.1676,                 1.0064,             0.00017148,             0.00017148,             0.00017148
                      2,                 3.9949,                 4.5898,                 4.3293,                 1.1217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6137,                 5.2501,                 4.1259,                 1.0217,             0.00035584,             0.00035584,             0.00035584
                      3,                 3.4707,                 4.4627,                 3.9665,                 0.9651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1142,                 4.0112,                 4.1046,                 1.0648,             0.00053872,             0.00053872,             0.00053872
                      4,                 3.5656,                 3.5826,                  3.672,                0.94375,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1142,                 4.0112,                 4.1046,                 1.0648,             0.00072013,             0.00072013,             0.00072013
                      5,                 3.7843,                 4.7013,                 3.4347,                0.94747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1866,                 2.8892,                 3.9362,                  1.075,             0.00090007,             0.00090007,             0.00090007
                      6,                 3.6572,                 3.7431,                 3.3293,                 0.9509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1866,                 2.8892,                 3.9362,                  1.075,              0.0010785,              0.0010785,              0.0010785
                      7,                 3.5875,                 3.5356,                 2.8667,                0.94311,                0.00056,                0.00212,                0.00028,                  3e-05,                0.00992,                0.01554,                0.00551,                 0.0013,                 4.1009,                 3.0436,                 3.5501,                 1.0668,              0.0012555,              0.0012555,              0.0012555
                      8,                 3.5057,                 3.7717,                 2.8117,                0.93002,                0.00056,                0.00212,                0.00028,                  3e-05,                0.00992,                0.01554,                0.00551,                 0.0013,                 4.1009,                 3.0436,                 3.5501,                 1.0668,              0.0013894,              0.0013894,              0.0013894
                      9,                 3.2296,                 3.6529,                 2.4462,                0.93798,                0.15195,                0.33893,                0.15729,                0.04732,                0.08102,                0.19019,                0.06147,                0.01716,                 3.3708,                 6.0311,                 2.4815,                0.99811,              0.0013894,              0.0013894,              0.0013894
                     10,                  3.215,                 3.6289,                 2.1743,                0.91392,                0.15195,                0.33893,                0.15729,                0.04732,                0.08102,                0.19019,                0.06147,                0.01716,                 3.3708,                 6.0311,                 2.4815,                0.99811,              0.0013837,              0.0013837,              0.0013837
