,fa_beam,fb_beam,fpearson_beam,fspearman_beam,fa_notehead,fb_notehead,fpearson_notehead,fspearman_notehead
1,0.9994840401795494,0.9508705638531202,0.9552368574494751,0.36004596419788026,0.9991710621824982,0.9752236886853245,0.9544106519487491,0.34141262276142714
2,0.9989181450488498,0.6343672170877998,0.6674325253047604,0.2090620784172739,0.9970886971761008,0.7702010017162197,0.8083247998445815,0.29403472252230134
3,0.9976943294799253,0.9264643984985547,0.9092582908268013,0.3778690475323732,0.9986332351255767,0.9162017010790579,0.9081450438830304,0.34028115293020833
4,0.9969072890710674,0.844635208679646,0.8644695081805855,0.38427367502707727,0.9970087924683609,0.8646898277772587,0.8775556681207977,0.34375960680121914
5,0.9982766615632747,0.8882278264763166,0.8532863852381364,0.3560228559007536,0.9987792505023024,0.9355658004163746,0.9316923946900666,0.3834866911741088
6,0.9990763273371461,0.8559766166542248,0.8635684949139836,0.22338573025499806,0.9973684209449036,0.8071989303281693,0.8508128981935529,0.29232148416944526
7,0.9997497245404722,0.29289321881345254,,,0.9992628596206996,0.5866144932082451,0.6960509870686366,0.2253167626187108
8,0.9997375931208627,0.9881248666787334,0.9849301502240808,0.4519428098295415,0.9989494055965524,0.8656838251055596,0.9073436467452451,0.33183368253239365
9,0.9969118866356574,0.93403000774631,0.9087897000633988,0.3890998067073083,0.9992141049830979,0.9462136672429449,0.9496818894077488,0.32491008340538535
10,0.9982039306974645,0.6440594377298856,0.69274541198747,0.24980284453848686,0.9977513537584893,0.7882651820193619,0.8293299334769406,0.297550699809442
