,fa_beam,fb_beam,fpearson_beam,fspearman_beam,fa_notehead,fb_notehead,fpearson_notehead,fspearman_notehead
1,0.9989958797716592,0.8255689881122696,0.8699148022790173,0.3248996147621633,0.9966332030479671,0.45130284935601817,0.5014130306691271,0.1659725264246741
2,0.998295104416747,0.3537545777351786,0.285534731855263,0.094139863391419,0.9939130632780516,0.3826007898143372,0.3804204470326106,0.12657885365129115
3,0.9970008262638373,0.6906833512042384,0.7527883503771161,0.29056529785626756,0.9959181311091316,0.4498974476661607,0.49733350672129356,0.16897177253465862
4,0.9955716419431898,0.6823450597049862,0.7323277021815632,0.3006784600107959,0.9916845392071085,0.40399855159148157,0.41073182062243696,0.1428054216005744
5,0.9978723154792043,0.7456694482743835,0.7726402626748318,0.3200898257743569,0.9948213642885211,0.39221247426040495,0.39103177527493377,0.14662062474897986
6,0.9986688316860904,0.5476594750232209,0.5915813851680924,0.13793206877217604,0.9947912152287288,0.41729162361625827,0.4580181708165858,0.1445743816115956
7,0.9997497245404722,0.29289321881345254,,,0.9988554232886249,0.32262796548960904,0.23830260965672967,0.07114650790710093
8,0.9992794712786404,0.8160017492317004,0.8691451292504033,0.37965301140963786,0.9975420243707058,0.4987756983177829,0.5925920359153722,0.19639410937246587
9,0.9953803546390779,0.7058597283564993,0.745505327944179,0.3314667863554366,0.9964450471736214,0.4482438949184787,0.4942654370981114,0.1567699657282314
10,0.9976098303114468,0.473100923981322,0.4999733346055632,0.18248679803529005,0.9948599727240465,0.36142676635954896,0.32495313603952436,0.10877932851890222
