                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 3.0255,                 3.4314,                 1.8221,                0.87943,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012988,              0.0012988,              0.0012988
                     26,                 3.0978,                 3.1707,                 1.8984,                 0.8729,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012932,              0.0012932,              0.0012932
                     27,                 3.2213,                 3.5061,                 1.9879,                 0.8849,                0.61842,                0.41018,                0.49734,                0.16053,                0.34443,                0.31042,                 0.2602,                 0.0906,                 2.6217,                 3.0015,                 1.5055,                0.87404,              0.0012875,              0.0012875,              0.0012875
                     28,                 3.2805,                 3.4909,                 2.0444,                0.86471,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012819,              0.0012819,              0.0012819
                     29,                 3.0076,                 3.2443,                 1.9586,                0.87696,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012762,              0.0012762,              0.0012762
                     30,                  2.976,                 2.8582,                 1.8741,                0.86754,                0.60028,                0.46805,                 0.5344,                0.17043,                0.35329,                0.31152,                0.28329,                0.10069,                  2.529,                 2.6558,                 1.7085,                0.86906,              0.0012706,              0.0012706,              0.0012706
                     31,                 3.0603,                 2.9945,                 1.8994,                0.89153,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012649,              0.0012649,              0.0012649
                     32,                  2.946,                 2.6552,                 1.8146,                0.89458,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012592,              0.0012592,              0.0012592
                     33,                 3.0917,                 3.3132,                 1.9262,                0.89004,                0.53998,                0.44677,                0.47489,                0.13626,                0.46109,                0.40849,                 0.4074,                0.14072,                 2.8224,                 2.3331,                 1.7805,                0.88188,              0.0012536,              0.0012536,              0.0012536
                     34,                 3.1505,                 3.0088,                 1.8775,                0.87612,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012479,              0.0012479,              0.0012479
                     35,                 3.2866,                 2.7835,                 2.2008,                0.86121,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012423,              0.0012423,              0.0012423
                     36,                 3.0879,                 2.9436,                 1.7814,                0.90024,                0.57607,                0.43283,                0.47096,                0.13834,                0.51589,                0.48121,                0.45213,                0.17763,                   2.77,                 2.0549,                  1.553,                0.87346,              0.0012366,              0.0012366,              0.0012366
                     37,                 2.9496,                 3.0294,                 1.6649,                 0.8758,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012309,              0.0012309,              0.0012309
                     38,                 3.0112,                 2.6445,                 1.7497,                0.85881,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012253,              0.0012253,              0.0012253
                     39,                 2.8515,                 2.3993,                 1.5804,                0.86176,                0.62831,                 0.5072,                 0.5561,                0.17291,                0.51174,                0.44336,                0.44516,                0.18606,                 2.5882,                 2.0266,                 1.3948,                0.85983,              0.0012196,              0.0012196,              0.0012196
                     40,                 2.9924,                 3.0625,                 1.7262,                0.86126,                0.65873,                0.50988,                0.57263,                0.19716,                0.35291,                0.39025,                0.24278,                0.09388,                 2.3837,                 2.1319,                 1.2832,                0.85376,               0.001214,               0.001214,               0.001214
                     41,                 3.2558,                 2.9244,                 1.9176,                0.84518,                0.65873,                0.50988,                0.57263,                0.19716,                0.35291,                0.39025,                0.24278,                0.09388,                 2.3837,                 2.1319,                 1.2832,                0.85376,              0.0012083,              0.0012083,              0.0012083
                     42,                 3.0201,                 2.9929,                 1.6697,                0.85574,                0.65873,                0.50988,                0.57263,                0.19716,                0.35291,                0.39025,                0.24278,                0.09388,                 2.3837,                 2.1319,                 1.2832,                0.85376,              0.0012026,              0.0012026,              0.0012026
                     43,                  3.089,                 3.0671,                 1.7527,                 0.8504,                0.65873,                0.50988,                0.57263,                0.19716,                0.35291,                0.39025,                0.24278,                0.09388,                 2.3837,                 2.1319,                 1.2832,                0.85376,               0.001197,               0.001197,               0.001197
                     44,                 3.0915,                 2.9476,                 1.7407,                0.84006,                0.60768,                0.48342,                0.51256,                0.18886,                0.22899,                0.30949,                0.15371,                0.05663,                 2.4912,                 2.3985,                 1.3346,                0.86398,              0.0011913,              0.0011913,              0.0011913
                     45,                    3.1,                 3.1233,                 1.7175,                0.86657,                0.60768,                0.48342,                0.51256,                0.18886,                0.22899,                0.30949,                0.15371,                0.05663,                 2.4912,                 2.3985,                 1.3346,                0.86398,              0.0011857,              0.0011857,              0.0011857
                     46,                 3.2266,                 3.2606,                 1.8403,                 0.8532,                0.60768,                0.48342,                0.51256,                0.18886,                0.22899,                0.30949,                0.15371,                0.05663,                 2.4912,                 2.3985,                 1.3346,                0.86398,                0.00118,                0.00118,                0.00118
                     47,                 3.1725,                 3.0266,                 1.8029,                0.87515,                0.60772,                0.41847,                0.48671,                 0.1622,                0.19885,                 0.3731,                0.14771,                0.05342,                 2.6292,                 2.6949,                 1.4258,                0.87715,              0.0011744,              0.0011744,              0.0011744
                     48,                 3.0899,                 2.9398,                 1.7513,                0.85581,                0.60772,                0.41847,                0.48671,                 0.1622,                0.19885,                 0.3731,                0.14771,                0.05342,                 2.6292,                 2.6949,                 1.4258,                0.87715,              0.0011687,              0.0011687,              0.0011687
                     49,                 3.0617,                   2.85,                 1.6922,                0.86367,                0.60772,                0.41847,                0.48671,                 0.1622,                0.19885,                 0.3731,                0.14771,                0.05342,                 2.6292,                 2.6949,                 1.4258,                0.87715,               0.001163,               0.001163,               0.001163
                     50,                 3.2187,                 3.1746,                 1.8334,                0.85445,                0.59876,                0.40456,                0.46361,                0.15705,                0.22805,                0.35686,                0.16188,                0.06331,                 2.7011,                 2.7056,                 1.4646,                0.88583,              0.0011574,              0.0011574,              0.0011574
                     51,                 3.0539,                 3.0459,                 1.7493,                0.87488,                0.59876,                0.40456,                0.46361,                0.15705,                0.22805,                0.35686,                0.16188,                0.06331,                 2.7011,                 2.7056,                 1.4646,                0.88583,              0.0011517,              0.0011517,              0.0011517
                     52,                 3.1616,                 3.0642,                 1.7625,                0.87149,                0.59876,                0.40456,                0.46361,                0.15705,                0.22805,                0.35686,                0.16188,                0.06331,                 2.7011,                 2.7056,                 1.4646,                0.88583,              0.0011461,              0.0011461,              0.0011461
                     53,                 3.3491,                 3.4352,                 1.8853,                0.82897,                0.59356,                0.45004,                0.44702,                0.15692,                0.25449,                0.26459,                0.19581,                0.07977,                 2.6782,                 2.3804,                 1.4097,                0.88011,              0.0011404,              0.0011404,              0.0011404
                     54,                 2.9869,                 3.1431,                 1.6136,                0.87698,                0.59356,                0.45004,                0.44702,                0.15692,                0.25449,                0.26459,                0.19581,                0.07977,                 2.6782,                 2.3804,                 1.4097,                0.88011,              0.0011347,              0.0011347,              0.0011347
                     55,                 3.1503,                 2.9116,                 1.6994,                0.85569,                0.59356,                0.45004,                0.44702,                0.15692,                0.25449,                0.26459,                0.19581,                0.07977,                 2.6782,                 2.3804,                 1.4097,                0.88011,              0.0011291,              0.0011291,              0.0011291
                     56,                  3.169,                 2.9678,                 1.6843,                0.84415,                0.59376,                 0.4862,                0.45052,                 0.1653,                0.26529,                0.32307,                0.23383,                0.09007,                 2.4705,                 2.3334,                 1.3115,                0.87103,              0.0011234,              0.0011234,              0.0011234
                     57,                  3.098,                 2.9838,                 1.5783,                 0.8926,                0.59376,                 0.4862,                0.45052,                 0.1653,                0.26529,                0.32307,                0.23383,                0.09007,                 2.4705,                 2.3334,                 1.3115,                0.87103,              0.0011178,              0.0011178,              0.0011178
                     58,                 3.1797,                 2.9966,                 1.6884,                0.84921,                0.59376,                 0.4862,                0.45052,                 0.1653,                0.26529,                0.32307,                0.23383,                0.09007,                 2.4705,                 2.3334,                 1.3115,                0.87103,              0.0011121,              0.0011121,              0.0011121
                     59,                 2.9537,                 2.9795,                 1.5272,                0.84698,                0.59376,                 0.4862,                0.45052,                 0.1653,                0.26529,                0.32307,                0.23383,                0.09007,                 2.4705,                 2.3334,                 1.3115,                0.87103,              0.0011064,              0.0011064,              0.0011064
                     60,                 3.0452,                  2.529,                 1.5196,                0.86326,                0.57871,                0.50508,                0.45711,                0.15707,                0.32118,                0.37008,                0.26132,                0.10078,                  2.426,                 2.1453,                 1.2623,                0.86999,              0.0011008,              0.0011008,              0.0011008
                     61,                 2.9781,                 2.7089,                  1.427,                0.83612,                0.57871,                0.50508,                0.45711,                0.15707,                0.32118,                0.37008,                0.26132,                0.10078,                  2.426,                 2.1453,                 1.2623,                0.86999,              0.0010951,              0.0010951,              0.0010951
                     62,                 3.1178,                 3.1896,                 1.6616,                0.85715,                0.57871,                0.50508,                0.45711,                0.15707,                0.32118,                0.37008,                0.26132,                0.10078,                  2.426,                 2.1453,                 1.2623,                0.86999,              0.0010895,              0.0010895,              0.0010895
                     63,                 3.2113,                 2.8373,                 1.7426,                0.82803,                0.59682,                0.49576,                0.46696,                0.14874,                0.33446,                0.40559,                0.25671,                0.10151,                 2.4935,                  2.138,                 1.2792,                0.86832,              0.0010838,              0.0010838,              0.0010838
                     64,                  3.283,                 2.7699,                 1.7062,                0.83799,                0.59682,                0.49576,                0.46696,                0.14874,                0.33446,                0.40559,                0.25671,                0.10151,                 2.4935,                  2.138,                 1.2792,                0.86832,              0.0010782,              0.0010782,              0.0010782
                     65,                 2.9024,                 2.3622,                 1.4657,                0.84609,                0.59682,                0.49576,                0.46696,                0.14874,                0.33446,                0.40559,                0.25671,                0.10151,                 2.4935,                  2.138,                 1.2792,                0.86832,              0.0010725,              0.0010725,              0.0010725
                     66,                 2.8952,                 2.5244,                 1.4818,                 0.8466,                0.62002,                0.51854,                0.54367,                 0.1867,                0.33834,                0.34591,                0.24489,                0.09424,                 2.3311,                 2.1757,                 1.2356,                0.86094,              0.0010668,              0.0010668,              0.0010668
                     67,                  2.867,                 2.7192,                 1.4627,                0.85133,                0.62002,                0.51854,                0.54367,                 0.1867,                0.33834,                0.34591,                0.24489,                0.09424,                 2.3311,                 2.1757,                 1.2356,                0.86094,              0.0010612,              0.0010612,              0.0010612
                     68,                 3.0418,                 2.4938,                 1.5546,                0.86123,                0.62002,                0.51854,                0.54367,                 0.1867,                0.33834,                0.34591,                0.24489,                0.09424,                 2.3311,                 2.1757,                 1.2356,                0.86094,              0.0010555,              0.0010555,              0.0010555
