                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.7106,                 2.3447,                 1.5736,                0.88131,                0.56244,                0.55751,                0.52128,                0.16018,                0.29814,                0.37048,                0.23999,                0.08122,                 2.7841,                 3.6597,                 1.3772,                0.92442,              0.0012121,              0.0012121,              0.0012121
                     26,                 2.7779,                 2.7708,                  1.621,                0.87711,                0.58495,                0.58413,                0.55975,                0.18727,                0.37079,                0.44374,                0.30085,                0.10343,                 2.6632,                 3.3369,                 1.3143,                0.92221,              0.0012026,              0.0012026,              0.0012026
                     27,                 2.8108,                 2.7431,                 1.5937,                0.86445,                0.58495,                0.58413,                0.55975,                0.18727,                0.37079,                0.44374,                0.30085,                0.10343,                 2.6632,                 3.3369,                 1.3143,                0.92221,              0.0011932,              0.0011932,              0.0011932
                     28,                 2.7107,                 2.6923,                 1.5345,                0.86864,                0.58495,                0.58413,                0.55975,                0.18727,                0.37079,                0.44374,                0.30085,                0.10343,                 2.6632,                 3.3369,                 1.3143,                0.92221,              0.0011838,              0.0011838,              0.0011838
                     29,                 2.8281,                   2.76,                 1.4796,                0.86013,                0.61818,                0.60123,                0.59865,                0.21266,                0.44075,                0.45894,                0.36187,                0.12539,                 2.5343,                 3.2185,                 1.2698,                0.91431,              0.0011744,              0.0011744,              0.0011744
                     30,                 2.7641,                 2.6322,                  1.551,                 0.8694,                0.61818,                0.60123,                0.59865,                0.21266,                0.44075,                0.45894,                0.36187,                0.12539,                 2.5343,                 3.2185,                 1.2698,                0.91431,              0.0011649,              0.0011649,              0.0011649
                     31,                 2.7648,                 2.7546,                 1.5036,                0.86133,                0.63497,                0.61526,                0.60446,                0.20448,                 0.3785,                0.46212,                0.31948,                0.11125,                 2.5821,                 3.5694,                 1.2768,                0.91126,              0.0011555,              0.0011555,              0.0011555
                     32,                 2.7737,                 2.6273,                 1.5153,                0.85138,                0.63497,                0.61526,                0.60446,                0.20448,                 0.3785,                0.46212,                0.31948,                0.11125,                 2.5821,                 3.5694,                 1.2768,                0.91126,              0.0011461,              0.0011461,              0.0011461
                     33,                 2.9026,                  2.753,                  1.561,                0.85414,                0.63497,                0.61526,                0.60446,                0.20448,                 0.3785,                0.46212,                0.31948,                0.11125,                 2.5821,                 3.5694,                 1.2768,                0.91126,              0.0011366,              0.0011366,              0.0011366
                     34,                 2.8439,                 3.0113,                 1.5754,                0.83019,                0.54016,                 0.5751,                0.49792,                0.13316,                0.27042,                0.40728,                0.21417,                 0.0683,                 2.9097,                 4.9083,                  1.376,                0.92748,              0.0011272,              0.0011272,              0.0011272
